21.34455788		1823268077863502.25000000
21.41918921		2756149619580312.50000000
21.49382053		7048066863844520.00000000
21.56845185		904798072710795.12500000
21.64308317		3517374419235915.50000000
21.71771449		1541764033776959.75000000
21.79234581		1731467964264253.00000000
21.86697713		922725525079158.50000000
21.94160845		934635060677944.50000000
22.01623978		1165317022474183.75000000
22.09087110		1095862408293124.37500000
22.16550242		3100301470626600.00000000
22.24013374		577387326266277.25000000
22.31476506		1837343656682483.25000000
22.38939638		5925061335909841.00000000
22.46402770		1122767499289451.00000000
22.53865902		321782544867207.06250000
22.61329035		509633591849477.12500000
22.68792167		862625030118488.00000000
22.76255299		858468933041870.37500000
22.83718431		578060512596146.50000000
22.91181563		2149236784822393.00000000
22.98644695		2475239275386243.00000000
23.06107827		29915043728289.56250000
23.13570959		87793484980378.67187500
23.21034092		2120444304860442.75000000
23.28497224		615028223908488.25000000
23.35960356		2068074216970272.50000000
23.43423488		769760623807152.62500000
23.50886620		4058247072402508.00000000
23.58349752		1408313632433614.00000000
23.65812884		6849592658256333.00000000
23.73276016		7422766975837750.00000000
23.80739149		1322566101869898.00000000
23.88202281		5258440692313889.00000000
23.95665413		2464906189704418.00000000
24.03128545		249350412836779.78125000
24.10591677		683891128906610.00000000
24.18054809		3257233317453233.00000000
24.25517941		340207939990461.87500000
24.32981074		732957529263000.00000000
24.40444206		1642141852852528.25000000
24.47907338		3190993108914574.50000000
24.55370470		3985102484156160.00000000
24.62833602		959200421345914.62500000
24.70296734		328490432471257.93750000
24.77759866		441419645481198.37500000
24.85222998		2145691719239205.25000000
24.92686131		1903263264157047.25000000
25.00149263		1531705818065547.00000000
25.07612395		413673118500122.56250000
25.15075527		358613776553310.81250000
25.22538659		2911706000177043.50000000
25.30001791		154743490620874.78125000
25.37464923		5208692358175767.00000000
25.44928055		338805759673814.12500000
25.52391188		1299695626345870.50000000
25.59854320		5089280480620608.00000000
25.67317452		5892801875061475.00000000
25.74780584		5185175408462841.00000000
25.82243716		248923959996755.75000000
25.89706848		952470316102330.62500000
25.97169980		1003126599654203.87500000
26.04633112		685097766366461.12500000
26.12096245		2148717520232564.25000000
26.19559377		3672427602504258.50000000
26.27022509		1731006262083959.75000000
26.34485641		2058815038532307.75000000
26.41948773		921854217637678.37500000
26.49411905		3297131076742655.50000000
26.56875037		3105128370616912.50000000
26.64338169		1194900857479296.75000000
26.71801302		240627699509174.21875000
26.79264434		122741721083826.03125000
26.86727566		3087429950057424.50000000
26.94190698		354079112000509.93750000
27.01653830		1259388763594164.00000000
27.09116962		5768194368795969.00000000
27.16580094		602980355901233.37500000
27.24043226		1374173517263148.50000000
27.31506359		415275997621956.68750000
27.38969491		1635309906932508.50000000
27.46432623		566098194282525.25000000
27.53895755		11144255550699674.00000000
27.61358887		1921081630179604.75000000
27.68822019		277219456967117.53125000
27.76285151		1403525010063274.00000000
27.83748283		479592344097599.00000000
27.91211416		565602863629231.62500000
27.98674548		483370834307539.50000000
28.06137680		622148957670997.37500000
28.13600812		1039559004939565.00000000
28.21063944		449051518794494.06250000
28.28527076		457997005402572.25000000
28.35990208		653574796355266.87500000
28.43453341		1602407176815710.75000000
28.50916473		1489623768042576.00000000
28.58379605		466723911530697.12500000
28.65842737		1765670805901225.75000000
28.73305869		3413568946027758.00000000
28.80769001		1253116222594995.00000000
28.88232133		1450119318597707.50000000
28.95695265		3295767549097459.50000000
29.03158398		880309289495944.87500000
29.10621530		280329106516389.31250000
29.18084662		3778293186680991.50000000
29.25547794		2151696343329178.50000000
29.33010926		180861708311303.06250000
29.40474058		1041509511021958.87500000
29.47937190		170267594057624.68750000
29.55400322		4395844491329723.00000000
29.62863455		217238283526097.84375000
29.70326587		1511207010587908.25000000
29.77789719		219847135568099.93750000
29.85252851		1231680551166443.00000000
29.92715983		1353380168643560.25000000
30.00179115		1521401846003948.00000000
30.07642247		310385464548499.56250000
30.15105379		700833477203366.75000000
30.22568512		2096360666882971.50000000
30.30031644		1416551534814230.25000000
30.37494776		352402890635157.12500000
30.44957908		3105484189545667.50000000
30.52421040		3649336975905.63964844
30.59884172		516609476627636.43750000
30.67347304		824140488632375.75000000
30.74810436		1797967813692918.50000000
30.82273569		433784813919235.56250000
30.89736701		1280772709499152.50000000
30.97199833		2694744024656905.50000000
31.04662965		1360087256752015.00000000
31.12126097		1524725095170203.25000000
31.19589229		7105972776433933.00000000
31.27052361		108153499192108.79687500
